expression,context
wszczęcie spraw,Następnego dnia prawnik Aleksandr Chamińskij podał wniosek o wszczęcie spraw w sprawie tego incydentu do Departamentu Ministerstwa Spraw Wewnętrznych Twerskiego Rejonu i Moskiewskiej Policji Ruchu Drogowego.
wychodzi za mąż,"Maya, córka Sama i Naomi, zachodzi w ciążę i wychodzi za mąż za ojca swojego dziecka, Dinka."
wyjść za mąż,"Wzbudziło to wiele kontrowersji, np. niektórzy komentatorzy zastanawiali się, czy to oznacza, że Sophia może głosować lub wyjść za mąż oraz czy celowe wyłączenie jej systemu można uznać za morderstwo."
wyrzuty sumienia,"Wzruszona królowa Adelajda, odczuwająca silne wyrzuty sumienia, uważa, że jedynie szczera spowiedź może jej pomóc."
wziąwszy udział,"Na Deklarację powołuje się Karta ONZ w art. 3: Pierwotnymi członkami Organizacji Narodów Zjednoczonych są państwa, które wziąwszy udział w Konferencji Narodów Zjednoczonych w sprawie Organizacji Międzynarodowej w San Francisco bądź podpisawszy uprzednio Deklarację Narodów Zjednoczonych z 1 stycznia 1942 r., podpisały i ratyfikowały niniejszą Kartę zgodnie z artykułem 110."
wziąć sprawy w swoje ręce,"Po trzech miesiącach rozpaczy za mężem, który nagle zniknął, Kunegunda próbuje wziąć sprawy w swoje ręce i dowiedzieć się, ile pieniędzy zostało wypłaconych Ludwigowi."
wziąć udział,"Producent wyjaśnił również, że byłe stażystki i piosenkarki również mogły wziąć udział w programie."
wziąć udziału,Dwie załogi nie mogły wziąć udziału w nalocie z powodu chorób.
wziął udział,Wraz z innymi uczniami tej szkoły wziął udział w powstaniu listopadowym.
wziął udziału,"Arafat w późniejszych latach miał z ojcem złe kontakty a gdy ten zmarł w 1952 roku, Arafat nie wziął udziału w pogrzebie ani nie odwiedził grobu ojca po powrocie do Gazy."
wzięli udział,"W październiku, Woods zaczął pojawiać się w tag teamie z Wesem Brisco i wzięli udział w tag team turmoil matchu 14 października, gdzie zostali pokonani przez trzy inne drużyny."
wzięli udziału,"Jednak żadni dawniejsi członkowie Martha and the Muffins nie wzięli udziału w tych „wskrzeszeniach” z 2005, które jednak stanowiły pierwsze pełnometrażowe koncerty grupy od 1987."
wzięła udział,"Jesienią 2005 wzięła udział w drugim sezonie duńskiej edycji formatu Dancing with the Stars (Vild med dans), ale wycofała się po ataku serca."
wzięła udziału,"Przygotowywała się także do misji STS-83 w miejsce Donalda A. Thomasa, jednakże wyzdrowiał on na czas, więc nie wzięła udziału w misji."
wzięło udział,"23 kwietnia 2006 w Sydney, około tuzina Peugeotów 203 (wraz z innymi samochodami Peugeot – 204, 403, 404) wzięło udział w Peugeot 2006 Round Australia Rerun."
wzięły udział,"Wszystkie trzy okręty wzięły udział w rejsie po Adriatyku i Morzu Egejskim w 1899 r., aby pokazać austro-węgierską flagę na obcych wodach."
wzięły udziału,Tym razem w zawodach nie wzięły udziału Włochy ani Czechosłowacja.
wzloty i upadki,"To wszystko miało wzloty i upadki, ale przez najważniejszą część zachowałam moją wiarę i trzymałam głowę wysoko...To zabrało mój czas."
wzlotów i upadków,"Po serii wzlotów i upadków, przedsiębiorstwo New Bangkok International Airport (NBIA) powstał w 1996 roku."
z Bliskiego,W opowieściach o stworzeniu pochodzących z Bliskiego Wschodu pierwotny świat jest opisywany jako bezkształtny i pusty.
z Dalajlamą,Rozmowy z Dalajlamą.
z Dominikiem,"Jego pierwszy album, Paddy on the Road został nagrany z Dominikiem Behanem w 1969."
z biegiem czasu,Jego reformy społeczne i religijne doprowadziły z biegiem czasu do ukształtowania się współczesnej kultury birmańskiej.
z bliska,"Inna grupa dokonała eksploracji Lodowca Koettlitza na południowym zachodzie, a Wilson podróżował do Przylądka Croziera by obserwować z bliska kolonię pingwina cesarskiego."
z boku,Na powierzchni bądź w wodzie poruszają się poprzez faliste ruchy ciała z boku na bok.
z czasem,"Dzięki inwestycjom z czasem przedsiębiorstwo stało się znaczącym producentem rowerów, początkowo sprzedawanych pod marką Grand, a od 2003 – KROSS."
z czasopisma,"Elliott również zapewnił, że treści z czasopisma będą ponownie wydane w Stanach Zjednoczonych przez wydawnictwo Dark Horse Comics jako magazyn Deadline USA."
z czasopismami,"Jego syn, William Langewiesche, jest także znanym autorem, dziennikarzem i pilotem oraz laureatem wielu nagród, współpracującym z czasopismami Atlantic Monthly i Vanity Fair."
z czasopismem,"Reski powiedział: 'Nie chcę być powiązany z czasopismem, które zapewnia forum dla tego rodzaju agitacji'."
z czasu,"Główna Komisja Badania Zbrodni Niemieckich w Polsce, powołana do życia w 1945 roku, dokumentowała zbrodnie niemieckie z czasu II wojny światowej, prowadziła dochodzenia i publikowała wyniki swych badań."
z czasów,"Austriacka kuchnia, często błędnie łączona z kuchnią wiedeńską, wywodzi się z czasów Austro-Węgier."
z dala,"Niech trzymają się z dala od granicy – w ten sposób oszczędzi się krwi, łez i jakiegokolwiek krzyku”."
z daleka,"Rodzina Merriam, w tym Florence, często spędzała srogie zimy z daleka od Homewood, w stosunkowo łagodnym klimacie Nowego Jorku."
z dalszego,72 Kō (七十二候 Shichijūni kō) to dni uzyskane z dalszego podziału 24 Sekki przez trzy.
z dalszej,"W wielu grach dla dzieci osoba, która zostanie wykluczona z dalszej gry jest wysyłana do specjalnego miejsca, np. środka koła, nazywanego benjo."
z dalszych,"Po nim wydano 26 lipca 2007 roku CAMP2, pakiet składający się z dalszych pięciu map."
z definicji,Wywierający wpływ są z definicji neutralni.
z definicją,"Zgodnie z definicją EBC, suwerenne państwo będzie starało się odzyskać pełny dostęp do prywatnych rynków kredytowych, tylko wtedy, gdy nie udało się wydać nowej serii obligacji rządowych o 10-letnim terminie zapadalności."
z dnia na dzień,"W Rosji działalność ustała z dnia na dzień, gdy Władimir Putin zdelegalizował hazard w roku 2009."
z domenami,Domeny JH3–JH4 wykazują homologię z domenami SH2 (Src-homology-2).
z domeną,Najwięcej stron z domeną .su rejestrowanych jest w Rosji oraz Stanach Zjednoczonych.
z dominujących,Dawniej był to jeden z dominujących ekosystemów południowo-wschodniej Ameryki Północnej.
z domniemanych,"29 listopada jedna z domniemanych ofiar przyznała, że sama się okaleczyła w celu zwrócenia na siebie uwagi."
z domniemaną,"Co więcej, zapisy birmańskie podają datę Pełni Księżyca miesiąca Tabodwe 649 (18 stycznia 1288 roku), którą Pan Hla wiąże z domniemaną datą koronacji."
z domu,Edward wyprowadził się wówczas z domu.
z domysłów,"Przedchrześcijańska mitologia znana jest głównie z domysłów i rekonstrukcji, chociaż istnienie pewnych elementów mitologicznych (znanych z późniejszych źródeł) zostało potwierdzone przez odkrycia archeologiczne."
z domyślnymi,"W zależności od tego, w jakim stopniu oprogramowanie napisane przez użytkownika zostało zintegrowane z domyślnymi pakietami aplikacji, wielu użytkowników może nie być świadomych rozróżnienia między oryginalnymi pakietami, a tym, co zostało dodane przez współpracowników."
z domów,W jednym z domów w centrum wsi zebrali około 200 kobiet i małych dzieci.
z drugiej ręki,"Sam Tacyt nigdy nie był na ziemiach germańskich – wszystkie informacje, jakie posiadał, pochodziły w najlepszym przypadku z drugiej ręki."
z groszami,"1998, Bogdan, Re: mozliwosci ludzkiego mozgu, pl.misc.paranauki, Usenet Jeśli więc wyliczyć ten wzrost dla ludzi, okazuje się że gdyby ewolucja ludzkości następowała na Ziemi, wzrost poszczególnych osób wynosiłby około cztery metry z groszami (przykładowo autor, mierzący 1.76 metra, w przypadku wyewolucjonowania się na Ziemi powinien posiadać wzrost około 4.9 metra)."
z grubsza,"Bez względu na to, jaka jest natura istoty, zasada równości wymaga, by jej cierpienie było uznawane na równi z podobnymi cierpieniami – tak dalece, jak można je z grubsza porównać – innych istot."
z góry,Mogę zapłacić za dwa miesiące z góry.
z kolei,"Pod względem liczebności rosyjskie brygady strzelców były zbliżone do polskich pułków piechoty, z kolei rosyjskie pułki, przynajmniej nominalnie, odpowiadały polskim batalionom."
z myślą o,"Onew, Taemin, Key i Minho brali udział w pisaniu tekstów z myślą o Jonghyunie."
z okazji,"Pierwsze profesjonalne wydawnictwo Heaneya, arkusz poetycki Eleven Poems, opublikowane zostało w listopadzie 1965 z okazji święta Queen’s University."
z otwartymi ramionami,"Jestem przygotowana raczej przyjąć śmierć z otwartymi ramionami, niż żyć we wstydzie będąc zasłoniętą."
z pewnością,"Potem, z pewnością, zobaczycie go okiem pewności!"
z pierwszej ręki,"Założyciel, Masataka Taketsuru, wyjechał do Szkocji w 1918 roku, aby nauczyć się procesu destylacji szkockiej whisky z pierwszej ręki."
z początkiem,Wraz z początkiem II wojny światowej zaczęła wynajmować pokoje prostytutkom.
z początku,Sprowadzane z zagranicy części do jednego autobusu według cen z początku 1984 kosztowały 2000 dolarów amerykańskich.
z powodu,"Opowiada historię ludów Samud i 'Ad, które zostały zniszczone z powodu swojego odrzucenia wiary w Allaha."
z powodów,Jednym z powodów nadwątlenia reputacji McClellana były jego własne wspomnienia.
z pośpiechem,I poszła z pośpiechem w góry.
z przewagą kupy,"2007, Wiesław Godzic, Znani z tego, że są znani: celebryci w kulturze tabloidów →ISBN W efekcie wysłuchania dramatycznych wynurzeń „kobiety po przejściach” gwiazdor ironicznie komentuje: „To wychodzi na to, że jestem kupą gówna z przewagą kupy. Taka jest prawda. [ … ] ”"
z przodu,"Atak miał miejsce tuż po zmroku, z przodu zatłoczonej kawiarni, gdzie ludzie gromadzili się, by oglądać w telewizji mecz piłki nożnej."
z racji,"Argument ten odrzucali kompatybiliści tacy jak Daniel Dennett z racji tego, że nawet jeśli ludzie mają coś wspólnego z tymi przedmiotami, pozostaje możliwym i wiarygodnym, że w istotny sposób różnimy się od nich."
z reguły,Nieinwazyjne oraz minimalnie inwazyjne procedury medyczne z reguły sprzyjają znacznie mniejszym powikłaniom w porównaniu do tych inwazyjnych.
z regułą,Naiwny klasyfikator bayesowski łączy ten model z regułą decyzyjną.
z rządami,"Powiedział, że starał się o status modelowej przychodni aborcyjnej i postulował, w rozmowach z rządami federalnym i prowincjonalnym, że aborcje mogą być bezpiecznie wykonywane poza szpitalami."
z rządem,"Przetrwanie myszoryjków jest niepewne, o ochronie mówi się w ramach projektu 'Last Survivors Project', który współpracuje z rządem dominikańskim."
z rządowego,"Duże koszty tej inwestycji, które miały być pokryte z rządowego kredytu, spowodowały kilkuletnie opóźnienie."
z rządu,20 kwietnia 1926 PPS wycofała się z rządu co spowodowało niebawem jego upadek.
z rzędu,"Ailee po raz trzeci z rzędu została wyróżniona nagrodą dla najlepszej wokalistki podczas MAMA 2015, tym razem za „Mind Your Own Business”."
z tytułami,Grupy wikipedystów już zaczęły redagować polskie artykuły z tytułami Aa-Af w wybranych tematach.
z tytułem,W sierpniu 1933 roku „Nasz Przegląd Illustrowany” na pierwszej stronie publikował zdjęcie z tytułem „Przed otwarciem najważniejszej żydowskiej placówki naukowej w Warszawie” jednak placówka długo borykała się z brakiem funduszy.
z tytułu,"Nazwa grupy została zaczerpnięta z tytułu albumu zespołu The Flaming Lips Hit to Death in the Future Head, wydanego w 1992 roku."
z tyłu,Luchs z tyłu.
z udziałem,"Zgodnie z koncepcją Hassana i Bhutto, Partia Ludowa stała się częścią ruchu prodemokratycznego z udziałem różnych partii politycznych z całego Pakistanu."
z udziału,Paul Tirkkonen i Bror Flygare zrezygnowali z udziału w kolejnych walkach po swoich pierwszych porażkach w rundzie drugiej.
z uwagi na,"Jednakże z uwagi na brak odpowiedniej technologii, która by pozwoliła na zaimplementowanie elektrycznych systemów sterowania projektanci pozostawali przy mniej wydajnych systemach mechanicznych o powolnych odpowiedziach."
z uwagą,"Nagroda została ogłoszona 12 października, a przedruk znalazł się w następnym wydaniu z 19 października z uwagą, że „Przedłożona historia została wybrana i nagrodzona przez komitet 50 dolarami."
z użycia,"Zostały one usunięte w roku 1943, zaś baterię wycofano z użycia i jakiś czas później przekazano organom cywilnym."
z użyciem,"Zarówno obraz z Honolulu, jak i ten zniszczony należą do serii „czarnych portretów”, malowanych przez Whistlera na różnych etapach jego kariery z użyciem palety zdominowanej przez czerń."
z wyjątkiem,"Istnieją jednak pewne ważne wyjątki: Wszyscy gracze, z wyjątkiem bramkarza, mają zawiązane oczy."
z wyprzedzeniem,"Starszy system Makaranta był w istocie nieco dokładniejszy z wyprzedzeniem rzeczywistego roku o 23 minuty i 50,87 sekundy."
z wyłączeniem,"Goodrem jest współautorką większości materiału, z wyłączeniem piosenek „Throw It Away”, „Lost Without You” oraz „Butterfly”."
z założenia,"Nawet gdyby czarne karły istniały, byłyby bardzo trudne do wykrycia, ponieważ z założenia emitują bardzo mało promieniowania."
z założeniami,"Zgodnie z założeniami Planu Schlieffena, Niemcy cofali się powoli zadając poważne straty Francuzom."
za bezcen,"Wakefield sugerował, by w chwili, gdy maoryjscy wodzowie oddadzą za bezcen swą ziemię osadnikom, zostali „adoptowani” przez angielskie rodziny, które miałyby ich uczyć i korygować."
za darmo,Tajemniczy gość nazywający siebie Panem X dał bohaterom za darmo bilety na rejs luksusowym statkiem.
za dnia,"Frank Miller stwierdził nawet, że „Metropolis to Nowy Jork za dnia; Gotham City to Nowy Jork nocą”."
za każdym razem,"Adams często zamykał drzwi na klucz, gdy ją odwiedzał – na 20 minut za każdym razem."
za młodu,"Podczas wywiadu w 2006 roku Gershman stwierdził, 'muszę przyznać, że za młodu byłem pewnym rodzajem socjaldemokraty; dzisiaj naprawdę jestem demokratą."
za pomoc,"Współpracę z braćmi kontynuował, zdobywając uznanie za pomoc redakcyjną w ich nominowanym do Oscara filmie dokumentalnym Genghis Blues (1999)."
za pomocą,Śri P.V. Holey ustalił datę 13 listopada 3143 roku pp. n.e. za pomocą pozycji planet i systemu kalendarza.
za pośrednictwem,"Jego codzienne raporty przekazywane telefonicznie lub za pośrednictwem telewizji, nastawiały rosyjską opinię publiczną przeciw wojnie."
za sprawy,"Oddział odkomenderowany z Administracji Cywilnej Indii Holenderskich (ang.: Netherlands Indies Civil Administration, NICA) był odpowiedzialny za sprawy cywilne na Morotai."
za sprawą,"Dopiero w późniejszym czasie przyjęła się obecna nazwa, za sprawą właściciela ziemskiego (prawdopodobnie) Tomasza Tomickiego, który wyróżniał się swoją dobrocią i prawością."
za to,"Pius XII był krytykowany przez kilku współczesnych i historyków za to, że nie zastąpił Orsenigo jako nuncjusza."
za wszelką ceną,"Bogdan Zarzycki (Dariusz Jakubowski) – działacz sportowy, próbujący za wszelką ceną załatwić podpisanie kontraktu Febo & Dobrzański z reprezentacją piłkarską."
za wszelką cenę,"Panujące uczucie, że nic nie może się zmienić, że skarb im powierzony musi za wszelką cenę być zachowany w jego oryginalnej formie, było silniejsze niż jakakolwiek chęć zmiany”."
zaburzeniami psychicznymi,"Lirycznie album Blue Sky Noise jest oparty o zmaganiach Greena z zaburzeniami psychicznymi, z wieloma tekstami napisanymi podczas jego dobrowolnego 3-tygodniowego pobytu w zakładzie psychiatrycznym."
zausz firmę,"2015, Justyna Samolińska, Mit „zausz firmę” popularny wśród Polaków, strajk.eu"
zawał serca,"Zmarł tuż po wojnie na zawał serca, przed moją maturą”."
zawału serca,"5 stycznia 1991 Eck doznał zawału serca podczas snu, umierając w wieku 79 lat w domu, w którym przyszedł na świat."
zbieg okoliczności,"To był naprawdę zbieg okoliczności, zwykły łut szczęścia”."
zdaje sobie sprawy,"Ula, jako osoba dość naiwna nie zdaje sobie sprawy, że Marek udaje uczucie do niej i chce ją jedynie wykorzystać do ratowania swoich interesów finansowych."
zdaje sobie sprawę,"Gdy decyduje się na powrót, zdaje sobie sprawę, że jest śledzony."
zdajesz sobie sprawę,"W pierwszej kolejności jest dobrze i myślisz, że masz ciemną stronę – to ekscytujące – a wtedy zdajesz sobie sprawę, że ciemna strona wygrywa za każdym razem, jeśli zdecydujesz się w niej zanurzyć (...)."
zdają sobie sprawy,"Pan Garrison i dyrektor Victoria nie zdają sobie sprawy z upośledzenia Timmiego, a pan Mackey sugeruje, że Timmy może cierpieć na ADHD."
zdając sobie sprawy,"Prawdopodobnie nie zdając sobie sprawy z powagi sytuacji, Haus był nieobecny podczas Kryzysu Lipcowego w 1914 roku."
zdali sobie sprawę,W większości państw ludzie zdali sobie sprawę z rosnącego znaczenia problemu niedoboru wody.
zdaliśmy sobie sprawę,"Po przemyśleniu najlepszych momentów w naszych życiach prywatnych i zawodowych, zdaliśmy sobie sprawę że nadal jesteśmy zdolni kontynuować naszą karierę i przyjaźń na większą skalę niż przedtem.'"
zdawali sobie sprawy,"Lecz ani syn, ani matka nie zdawali sobie sprawy, iż wyminęli się."
zdawali sobie sprawę,"Steven Novella napisał „Chciałbym, żeby ludzie zdawali sobie sprawę, że homeopatia jest filozofią przednaukową, że jest oparta całkowicie na wierzeniach magicznych i jest o 200 lat do tyłu za rozwojem nauki."
zdawano sobie sprawę,"Pomimo tych zmian, zdawano sobie sprawę, że mury Valletty nie były wystarczająco mocne, aby wytrzymać oblężenie."
zdawać sobie sprawę,"Chiaki zaczyna zdawać sobie sprawę, że musi skonfrontować swoje prawdziwe uczucia lub zaryzykować utratę ich obu."
zdawał sobie sprawy,"Buell, znajdujący się kilka mil za frontem, nie zdawał sobie sprawy, że bitwa trwa i nie posłał żadnych rezerw aż do późnego popołudnia."
zdawał sobie sprawę,"Kiedis zdawał sobie sprawę z tego, iż brzmienie grupy ulegnie zmianie po dołączeniu do zespołu Navarro."
zdawała sobie sprawy,"Co dziwniejsze, Armia nie zdawała sobie sprawy ze zmian ani masowej produkcji systemu, ale na początku 1940 roku została dopuszczona do tajemnicy."
zdawałem sobie sprawę,"Lecz im więcej go słuchałem, tym bardziej zdawałem sobie sprawę, że jest tam sporo dobrych piosenek'."
zdał sobie sprawy,"Co więcej, Lamberton nie zdał sobie sprawy, że mniejsze kości udowe, które przypisał do Archaeoindris, należały do osobników młodocianych."
zdał sobie sprawę,"Poprzez uratowanie Dr. Hongo od Madaramen, zdał sobie sprawę, w jakim niebezpieczeństwie jest świat."
zdałem sobie sprawę,"W 1996 roku w 'Toronto Sun' powiedział: „Wychowałem się jako republikanin, ale kiedy zdałem sobie sprawę, że na koniec dnia nie było zbyt dużej różnicy pomiędzy demokratami i republikanami, stałem się libertarianinem”."
zdało sobie sprawę,"Kiedy Radio Luxembourg zdało sobie sprawę z potencjalnej straty, wycofało ofertę."
zdrowego rozsądku,"Uważał on, że idealizm był bezpośrednim zaprzeczeniem i odrzuceniem zdrowego rozsądku."
zdrowy rozsądek,"Od więzienia, które sobie stworzyliśmy przez nasze sposoby myślenia, nasze ograniczone i błędne nawyki myślowe, nasz ‘zdrowy rozsądek’."
ze stron,"Relacje pomiędzy Scuderia Italia i Lolą pogorszyły się, jako że każda ze stron oskarżała drugą o słabe wyniki samochodu."
ze strony,"Później próbował wycofać się z tej decyzji, lecz bez społecznego poparcia i wsparcia ze strony wojska został zmuszony do przekazania władzy Ernestowi Shonekanowi – bezpartyjnemu i popularnemu biznesmenowi."
ze względu na,"Lotnisko jest również znane jako Townsville International Airport oraz Garbutt Airport, ze względu na jego lokalizację w dzielnicy Townsville, Garbutt."
zespołów trakcyjnych,Dwadzieścia sześć elektrycznych zespołów trakcyjnych ETR211 'Metrostar' było wprowadzonych do ruchu pomiędzy listopadem 2008 i wrześniem 2009.
znaczek pocztowy,Rząd Indii upamiętnił postać Pandey'a wydając w 5 października 1984 znaczek pocztowy z jego wizerunkiem.
znaczkach pocztowych,Garland dwukrotnie uhonorowano na pamiątkowych znaczkach pocztowych.
znaczkami pocztowymi,"Kolekcja Muzeum Poczty Malty zawiera dokumenty i inne przedmioty mające związek z historią poczty Malty od XVI wieku po czasy współczesne, na równi z wszystkimi maltańskimi znaczkami pocztowymi wydanymi od roku 1860 (Halfpenny Yellow) do 2010."
znaczki pocztowe,Posterunki policyjne w kilku wsiach zaczęły sprzedawać znaczki pocztowe około 1891.
znaczku pocztowym,Niemożliwy sześcian został również umieszczony na austriackim znaczku pocztowym.
znaczków pocztowych,Książka traktowała też o historii rosyjskich znaczków pocztowych - tematyka unikalna aż do XX wieku.
znak wodny,Wydrukowano je na arkuszu zawierającym sześćdziesiąt znaczków i posiadającym znak wodny „e”.
znakiem wodnym,"Pod koniec 1921 i na początku 1922 niektóre wydania z lat 1914-1919 zostały wznowione, lecz już z innym znakiem wodnym."
znakiem zapytania,Około roku 1981 przyszłość Concorde'a w Wielkiej Brytanii stanęła pod znakiem zapytania.
zwłaszcza że,"Wydaje się więcej niż prawdopodobne, że to McFarlane popełnił zbrodnię, zwłaszcza że jest wiadome, iż był tam w tamtym czasie."
Łącznie z,"Łącznie z trzema prototypami, zbudowano 107 samolotów Valiant."
Łącznie zbudowano,Łącznie zbudowano ponad 3000 egzemplarzy pocisków AGM-78 wszystkich wersji.
łutu szczęścia,"Mianowicie, jeśli krytyczny wybór moralny jest sprawą chwilowego łutu szczęścia (niezdeterminowanych fluktuacji kwantowych), to na jakiej podstawie można osobę uważać odpowiedzialną za swój ostateczny czyn?"
łącznie z,"W liście przedstawiał się wieloma imionami, łącznie z tym, które do niego przylgnęło: BTK."
łącznie zebrać,"Gdyby okręty rosyjskie połączyły się z flotami szwedzką i duńsko-norweską, mogłyby łącznie zebrać siły liczące 123 okręty liniowe."
Święta wojna,Święta wojna w islamie.
świętej wojny,"Pozwoliło mu to na wezwanie do świętej wojny (dżihadu), w innym przypadku nielegalnego, wobec innych muzułmanów.”"
żeby nie,"Zapytana, w jaki sposób ona, jako doradca, zmieniłaby wizerunek Pierwszej Damy, gdyby została poproszona o konsultację, Smith odpowiedziała: „Powiedziałbym jej, żeby nie zmieniła swojego wizerunku, naprawdę."
